Vardas         Pavarde        Galutinis(Vid.)     
Vardas4        Pavarde4       8.40                
Vardas6        Pavarde6       7.48                
Vardas7        Pavarde7       7.44                
Vardas8        Pavarde8       7.80                
Vardas10       Pavarde10      7.84                
Vardas12       Pavarde12      8.64                
Vardas15       Pavarde15      6.92                
Vardas16       Pavarde16      8.72                
Vardas17       Pavarde17      6.68                
Vardas23       Pavarde23      6.04                
Vardas24       Pavarde24      5.96                
Vardas25       Pavarde25      8.64                
Vardas26       Pavarde26      7.20                
Vardas27       Pavarde27      5.96                
Vardas30       Pavarde30      7.76                
Vardas31       Pavarde31      7.92                
Vardas33       Pavarde33      7.48                
Vardas34       Pavarde34      8.28                
Vardas35       Pavarde35      8.28                
Vardas36       Pavarde36      8.32                
Vardas38       Pavarde38      7.36                
Vardas39       Pavarde39      5.72                
Vardas42       Pavarde42      6.56                
Vardas43       Pavarde43      8.20                
Vardas46       Pavarde46      7.92                
Vardas47       Pavarde47      5.48                
Vardas48       Pavarde48      8.12                
Vardas49       Pavarde49      7.04                
Vardas53       Pavarde53      6.40                
Vardas54       Pavarde54      7.48                
Vardas56       Pavarde56      6.20                
Vardas57       Pavarde57      8.36                
Vardas58       Pavarde58      7.40                
Vardas60       Pavarde60      5.92                
Vardas65       Pavarde65      6.92                
Vardas66       Pavarde66      5.20                
Vardas67       Pavarde67      5.16                
Vardas68       Pavarde68      5.60                
Vardas71       Pavarde71      7.92                
Vardas73       Pavarde73      6.56                
Vardas77       Pavarde77      5.16                
Vardas78       Pavarde78      7.76                
Vardas80       Pavarde80      6.32                
Vardas81       Pavarde81      6.92                
Vardas82       Pavarde82      6.44                
Vardas85       Pavarde85      5.76                
Vardas86       Pavarde86      5.56                
Vardas89       Pavarde89      8.28                
Vardas90       Pavarde90      5.68                
Vardas91       Pavarde91      8.48                
Vardas93       Pavarde93      8.08                
Vardas94       Pavarde94      6.16                
Vardas100      Pavarde100     8.12                
Vardas102      Pavarde102     7.28                
Vardas103      Pavarde103     5.00                
Vardas104      Pavarde104     5.76                
Vardas105      Pavarde105     8.04                
Vardas108      Pavarde108     5.28                
Vardas110      Pavarde110     8.04                
Vardas111      Pavarde111     7.92                
Vardas113      Pavarde113     6.16                
Vardas116      Pavarde116     7.04                
Vardas117      Pavarde117     5.00                
Vardas121      Pavarde121     7.56                
Vardas122      Pavarde122     6.32                
Vardas124      Pavarde124     7.92                
Vardas125      Pavarde125     6.40                
Vardas126      Pavarde126     8.04                
Vardas127      Pavarde127     5.32                
Vardas128      Pavarde128     6.80                
Vardas129      Pavarde129     7.52                
Vardas131      Pavarde131     8.52                
Vardas133      Pavarde133     5.76                
Vardas135      Pavarde135     5.76                
Vardas136      Pavarde136     5.12                
Vardas137      Pavarde137     5.76                
Vardas138      Pavarde138     6.52                
Vardas139      Pavarde139     5.44                
Vardas141      Pavarde141     7.64                
Vardas142      Pavarde142     8.52                
Vardas144      Pavarde144     7.72                
Vardas147      Pavarde147     6.56                
Vardas148      Pavarde148     5.28                
Vardas151      Pavarde151     7.80                
Vardas153      Pavarde153     5.88                
Vardas154      Pavarde154     8.96                
Vardas155      Pavarde155     5.80                
Vardas157      Pavarde157     8.80                
Vardas158      Pavarde158     8.24                
Vardas159      Pavarde159     7.88                
Vardas160      Pavarde160     6.60                
Vardas162      Pavarde162     6.52                
Vardas163      Pavarde163     5.88                
