Vardas         Pavarde        Galutinis(Vid.)     
Vardas2        Pavarde2       2.44                
Vardas3        Pavarde3       4.48                
Vardas4        Pavarde4       3.08                
Vardas7        Pavarde7       4.92                
Vardas9        Pavarde9       3.88                
Vardas12       Pavarde12      3.36                
Vardas14       Pavarde14      3.68                
Vardas16       Pavarde16      2.80                
Vardas18       Pavarde18      2.28                
Vardas20       Pavarde20      4.32                
Vardas23       Pavarde23      3.80                
Vardas26       Pavarde26      3.88                
Vardas30       Pavarde30      3.64                
Vardas31       Pavarde31      3.52                
Vardas32       Pavarde32      4.40                
Vardas33       Pavarde33      3.80                
Vardas36       Pavarde36      3.92                
Vardas37       Pavarde37      4.64                
Vardas41       Pavarde41      4.60                
Vardas42       Pavarde42      1.88                
Vardas45       Pavarde45      4.24                
Vardas48       Pavarde48      3.32                
Vardas49       Pavarde49      3.76                
Vardas50       Pavarde50      4.84                
Vardas52       Pavarde52      3.40                
Vardas53       Pavarde53      4.60                
Vardas54       Pavarde54      2.68                
Vardas57       Pavarde57      4.04                
Vardas58       Pavarde58      3.92                
Vardas61       Pavarde61      4.80                
Vardas62       Pavarde62      3.36                
Vardas69       Pavarde69      4.32                
Vardas71       Pavarde71      3.52                
Vardas75       Pavarde75      2.40                
Vardas79       Pavarde79      4.52                
Vardas81       Pavarde81      4.64                
Vardas82       Pavarde82      3.92                
Vardas86       Pavarde86      4.56                
Vardas88       Pavarde88      4.60                
Vardas89       Pavarde89      4.04                
Vardas90       Pavarde90      3.44                
Vardas96       Pavarde96      3.60                
Vardas102      Pavarde102     2.84                
Vardas103      Pavarde103     3.04                
Vardas106      Pavarde106     4.08                
Vardas112      Pavarde112     4.08                
Vardas113      Pavarde113     4.40                
Vardas115      Pavarde115     2.12                
Vardas120      Pavarde120     4.80                
Vardas121      Pavarde121     4.48                
Vardas125      Pavarde125     3.36                
Vardas128      Pavarde128     4.32                
Vardas129      Pavarde129     3.40                
Vardas131      Pavarde131     4.00                
Vardas132      Pavarde132     4.16                
